"name","kind","alias_of","upstream_package","family","scope","exclusion_reason","problem_representation","fixed_adaptive_behavior","jacobian_requirement","linear_solver_requirement","dense_output_requirement","controller_requirement","required_features","rust_status","rust_name","julia_status","julia_compliance_detected","upstream_source","upstream_line"
"AB3","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Ab3","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","23"
"AB4","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Ab4","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","36"
"AB5","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Ab5","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","49"
"ABM32","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Abm32","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","63"
"ABM43","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Abm43","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","77"
"ABM54","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Abm54","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","91"
"VCAB3","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Vcab3","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","106"
"VCAB4","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Vcab4","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","119"
"VCAB5","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Vcab5","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","132"
"VCABM","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; multistep history; adaptive controller for VC variants","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","186"
